f,r,x
19.561000,103.65,-2188.39
19.585950,102.37,-2172.88
19.610900,100.98,-2153.83
19.635850,99.77,-2136.83
19.660800,98.38,-2119.01
19.685750,97.00,-2100.35
19.710700,95.70,-2082.76
19.735650,94.30,-2063.95
19.760600,93.03,-2046.51
19.785550,91.89,-2030.03
19.810500,90.69,-2011.91
19.835450,89.29,-1992.91
19.860400,88.09,-1974.87
19.885350,86.86,-1956.06
19.910300,85.63,-1937.80
19.935250,84.34,-1919.62
19.960200,83.29,-1901.45
19.985150,82.16,-1882.88
20.010100,80.97,-1864.62
20.035050,79.88,-1845.71
20.060000,79.01,-1828.12
20.084950,77.64,-1808.67
20.109900,76.88,-1790.14
20.134850,80.20,-1771.62
20.159800,82.98,-1751.43
20.184750,85.86,-1732.34
20.209700,89.14,-1712.72
20.234650,92.48,-1693.86
20.259600,95.75,-1674.00
20.284550,98.68,-1654.20
20.309500,102.30,-1634.65
20.334450,105.38,-1614.37
20.359400,108.88,-1594.09
20.384350,113.38,-1573.94
20.409300,117.14,-1553.55
20.434250,121.33,-1533.49
20.459200,124.01,-1512.82
20.484150,128.91,-1491.58
20.509100,133.24,-1471.27
20.534050,137.57,-1450.00
20.559000,142.38,-1429.49
20.583950,146.50,-1408.48
20.608900,151.01,-1387.31
20.633850,155.19,-1365.82
20.658800,160.08,-1345.34
20.683750,164.56,-1324.07
20.708700,168.93,-1302.61
20.733650,172.76,-1280.45
20.758600,177.54,-1259.12
20.783550,181.96,-1237.92
20.808500,186.54,-1215.44
20.833450,190.81,-1193.27
20.858400,195.82,-1170.52
20.883350,199.76,-1148.34
20.908300,204.59,-1125.61
20.933250,209.24,-1102.08
20.958200,213.87,-1078.69
20.983150,218.55,-1055.03
21.008100,223.70,-1030.51
21.033050,228.43,-1005.53
21.058000,234.31,-981.05
21.082950,239.93,-954.98
21.107900,245.92,-928.18
21.132850,251.79,-901.92
21.157800,258.11,-875.41
21.182750,264.45,-847.77
21.207700,271.43,-820.02
21.232650,278.17,-791.39
21.257600,285.42,-762.73
21.282550,292.58,-733.93
21.307500,300.77,-704.34
21.332450,308.34,-673.68
21.357400,316.25,-643.33
21.382350,323.91,-612.73
21.407300,332.80,-580.64
21.432250,340.97,-549.04
21.457200,349.80,-515.95
21.482150,358.58,-483.07
21.507100,368.21,-448.90
21.532050,377.74,-414.53
21.557000,387.23,-379.39
21.581950,397.37,-343.95
21.606900,407.66,-306.91
21.631850,418.38,-270.75
21.656800,428.68,-232.80
21.681750,439.66,-194.25
21.706700,451.57,-154.44
21.731650,463.14,-114.61
21.756600,475.47,-73.17
21.781550,488.03,-30.86
21.806500,501.23,12.57
21.831450,515.05,57.11
21.856400,529.56,103.19
21.881350,544.67,150.43
21.906300,559.60,199.48
21.931250,575.74,248.72
21.956200,593.38,300.13
21.981150,611.72,353.34
22.006100,631.07,408.27
22.031050,650.88,465.89
22.056000,671.80,523.89
22.080950,694.49,585.84
22.105900,717.36,646.39
22.130850,742.06,712.23
22.155800,768.30,778.78
22.180750,797.33,847.07
22.205700,825.97,918.62
22.230650,857.70,993.29
22.255600,890.17,1068.11
22.280550,925.86,1146.16
22.305500,962.44,1228.58
22.330450,1003.14,1315.49
22.355400,1046.63,1404.46
22.380350,1091.65,1495.13
22.405300,1140.82,1591.02
22.430250,1196.24,1689.25
22.455200,1252.05,1797.34
22.480150,1315.60,1902.97
22.505100,1382.41,2018.86
22.530050,1456.61,2137.00
22.555000,1536.36,2266.45
22.579950,1625.99,2399.21
22.604900,1723.44,2536.61
22.629850,1829.22,2686.20
22.654800,1946.77,2835.24
22.679750,2078.45,2999.71
22.704700,2222.15,3166.12
22.729650,2380.37,3349.98
22.754600,2559.22,3531.67
22.779550,2755.34,3721.08
22.804500,2975.11,3926.82
22.829450,3220.34,4139.66
22.854400,3494.32,4362.31
22.879350,3816.76,4578.47
22.904300,4159.24,4799.64
22.929250,4565.45,5043.30
22.954200,5015.99,5267.22
22.979150,5521.78,5488.33
23.004100,6127.04,5696.19
23.029050,6773.50,5874.85
23.054000,7544.87,5964.79
23.078950,8366.54,6060.71
23.103900,9321.53,6055.59
23.128850,10000.00,5899.62
23.153800,10000.00,5553.02
23.178750,10000.00,5023.60
23.203700,10000.00,4249.13
23.228650,10000.00,3116.19
23.253600,10000.00,1708.91
23.278550,10000.00,-56.20
23.303500,10000.00,-2055.98
23.328450,10000.00,-3999.96
23.353400,10000.00,-5920.15
23.378350,10000.00,-7599.83
23.403300,10000.00,-8810.03
23.428250,10000.00,-9819.92
23.453200,10000.00,-10000.00
23.478150,10000.00,-10000.00
23.503100,9334.47,-10000.00
23.528050,8210.88,-10000.00
23.553000,7175.63,-10000.00
23.577950,6366.47,-10000.00
23.602900,5592.71,-10000.00
23.627850,4984.80,-10000.00
23.652800,4401.23,-10000.00
23.677750,3934.71,-9848.81
23.702700,3503.04,-9577.10
23.727650,3142.82,-9271.53
23.752600,2811.96,-9007.55
23.777550,2556.23,-8728.01
23.802500,2317.69,-8482.21
23.827450,2098.90,-8255.02
23.852400,1903.31,-8016.39
23.877350,1734.32,-7809.81
23.902300,1582.34,-7588.67
23.927250,1446.44,-7400.38
23.952200,1339.43,-7214.02
